zipcode,daily commute time,violent_crime_index,property_crime_index,household income,population,average age,race white percentage,race black percentage,race asian percentage,race hispanic percentage,race other percentage,average score,teacher student ratio,freelunch ratio,ethnic african ratio,ethnic asian ratio,ethnic hispanic ratio,ethnic white student ratio,ethnic two_or_more ratio,ethnic others ratio
90703,33,16.1,27.2,"90,613","50,877",44.2,16,7,61,12.6,3.4,13.99,20.1,64.1,8.89,7.62,71.75,8.89,0.95,1.9
90703,33,16.1,27.2,"90,613","50,877",44.2,16,7,61,12.6,3.4,99.26,25.4,20.2,1.48,78.04,13.55,4.15,1.88,0.9
90703,33,16.1,27.2,"90,613","50,877",44.2,16,7,61,12.6,3.4,95.27,27,24.4,7.73,59.23,23.73,5.62,2.99,0.7
91711,27,19.8,28.4,"89,508","36,933",39.8,56.4,4.2,15.1,21.2,3.1,88.61,25.9,17.1,2.16,15.12,26.39,47.99,8.33,0.01
91711,27,19.8,28.4,"89,508","36,933",39.8,56.4,4.2,15.1,21.2,3.1,88.52,25.8,31.9,4.66,12.02,39,34.93,8.94,0.45
91711,27,19.8,28.4,"89,508","36,933",39.8,56.4,4.2,15.1,21.2,3.1,12.61,9.4,81.3,6.25,0,81.25,12.5,0,0
91711,27,19.8,28.4,"89,508","36,933",39.8,56.4,4.2,15.1,21.2,3.1,79.47,26.3,26.5,3.79,15.89,32.22,37.32,10.5,0.28
91711,27,19.8,28.4,"89,508","36,933",39.8,56.4,4.2,15.1,21.2,3.1,82.17,24.4,34.8,5.42,10.29,41.52,35.65,6.68,0.44
91711,27,19.8,28.4,"89,508","36,933",39.8,56.4,4.2,15.1,21.2,3.1,50.37,26.9,56.1,7.03,11.33,56.84,17.38,6.45,0.97
91711,27,19.8,28.4,"89,508","36,933",39.8,56.4,4.2,15.1,21.2,3.1,42.09,23.5,54.6,7.09,6.03,59.22,20.92,6.03,0.71
91711,27,19.8,28.4,"89,508","36,933",39.8,56.4,4.2,15.1,21.2,3.1,29.48,17.2,54.9,8.54,4.88,59.76,24.39,2.44,0
91711,27,19.8,28.4,"89,508","36,933",39.8,56.4,4.2,15.1,21.2,3.1,57.84,25,45.8,6.27,3.23,51.71,32.13,6.08,0.58
91711,27,19.8,28.4,"89,508","36,933",39.8,56.4,4.2,15.1,21.2,3.1,84.58,26.6,14,1.25,7.75,23.25,56,10.75,1
91711,27,19.8,28.4,"89,508","36,933",39.8,56.4,4.2,15.1,21.2,3.1,70,25.7,77.6,7.46,10.45,67.16,11.94,2.39,0.6
90040,28,53.3,68.1,"44,531","12,925",35.2,2,0.9,1,95.7,0.4,,,,,,,,,
90220,31,56,54.7,"45,474","51,713",30.3,2.2,37.6,1,57.5,1.7,,,,,,,,,
90221,30,59.5,58.4,"42,753","54,259",27.6,1.1,21.1,0.5,76.6,0.7,62.76,27.1,82.2,4.01,0.11,93.72,0.76,0.76,0.64
91722,33,28.7,35.7,"63,740","36,557",34.4,20.4,1.9,9.7,66.1,1.9,39.97,23.1,71.9,0.75,3.56,89.49,5.82,0.19,0.19
91722,33,28.7,35.7,"63,740","36,557",34.4,20.4,1.9,9.7,66.1,1.9,48.3,26,80.3,3.6,7.63,79.03,8.05,0.85,0.84
91722,33,28.7,35.7,"63,740","36,557",34.4,20.4,1.9,9.7,66.1,1.9,9.53,14.4,77.4,6.29,0,88.05,5.03,0,0.63
91722,33,28.7,35.7,"63,740","36,557",34.4,20.4,1.9,9.7,66.1,1.9,54.28,23.9,74.4,0.99,2.05,92.53,3.53,0.49,0.41
91722,33,28.7,35.7,"63,740","36,557",34.4,20.4,1.9,9.7,66.1,1.9,43.43,24.3,76.8,1.71,5.01,85.31,4.78,2.85,0.34
91722,33,28.7,35.7,"63,740","36,557",34.4,20.4,1.9,9.7,66.1,1.9,57.36,21,81,2.78,4.76,85.71,5.56,0.4,0.79
91722,33,28.7,35.7,"63,740","36,557",34.4,20.4,1.9,9.7,66.1,1.9,47.59,21.6,76.7,2.05,3.33,87.44,4.62,2.31,0.25
91722,33,28.7,35.7,"63,740","36,557",34.4,20.4,1.9,9.7,66.1,1.9,65.07,25.6,69.3,3.2,5.56,74.96,9.28,6.32,0.68
91723,32,39,47.7,"60,532","20,193",33.3,26.4,3.7,10.7,56.1,3.1,64.23,24.4,66.7,4.17,7.69,74.52,9.62,3.04,0.96
91723,32,39,47.7,"60,532","20,193",33.3,26.4,3.7,10.7,56.1,3.1,59.66,24.4,70.7,2.13,8.74,75.75,10.24,2.76,0.38
91723,32,39,47.7,"60,532","20,193",33.3,26.4,3.7,10.7,56.1,3.1,40.51,23.2,77.6,3.42,6.09,79.94,7.28,3.12,0.15
91723,32,39,47.7,"60,532","20,193",33.3,26.4,3.7,10.7,56.1,3.1,57.85,23.3,65,4.03,10.39,68.46,13.94,2.44,0.74
91723,32,39,47.7,"60,532","20,193",33.3,26.4,3.7,10.7,56.1,3.1,72.39,23.9,53.7,2.73,11.54,64,16.39,5.1,0.24
91723,32,39,47.7,"60,532","20,193",33.3,26.4,3.7,10.7,56.1,3.1,48.22,24.4,72,1.71,10.13,77.36,7.17,3.07,0.56
91724,35,25.8,33.1,"75,420","25,755",37.6,33.5,4,10.1,50.4,2,45.34,22.6,64.7,2.21,4.86,77.04,13.47,2.21,0.21
91724,35,25.8,33.1,"75,420","25,755",37.6,33.5,4,10.1,50.4,2,59.9,26.1,61.1,2.51,7.39,71.64,13.98,3.56,0.92
91724,35,25.8,33.1,"75,420","25,755",37.6,33.5,4,10.1,50.4,2,67.27,24.4,49.6,3.77,7.73,62.39,22.8,2.62,0.69
91724,35,25.8,33.1,"75,420","25,755",37.6,33.5,4,10.1,50.4,2,53.49,25.2,63.7,3.72,5.58,69.3,18.14,2.79,0.47
91724,35,25.8,33.1,"75,420","25,755",37.6,33.5,4,10.1,50.4,2,57.83,23.7,55.2,2.53,7.3,65.31,20.65,3.09,1.12
90230,28,34.8,46.3,"73,786","32,657",38.4,38.3,6.9,16,34,4.8,61.44,22,63,9.79,10.5,57.76,14.56,6.92,0.47
90230,28,34.8,46.3,"73,786","32,657",38.4,38.3,6.9,16,34,4.8,82.05,23.7,33.9,20.23,12.33,38.68,24.76,3.18,0.82
90230,28,34.8,46.3,"73,786","32,657",38.4,38.3,6.9,16,34,4.8,80.53,25,32.1,14.29,12.18,37.66,27.52,7.54,0.81
90230,28,34.8,46.3,"73,786","32,657",38.4,38.3,6.9,16,34,4.8,16.24,10.8,47.4,13.16,2.63,52.63,31.58,0,0
90230,28,34.8,46.3,"73,786","32,657",38.4,38.3,6.9,16,34,4.8,95.43,23.5,9.8,3.52,16.16,39.85,21.75,18.71,0.01
90230,28,34.8,46.3,"73,786","32,657",38.4,38.3,6.9,16,34,4.8,67.61,21.2,37.5,29.53,8.7,33.51,17.57,9.96,0.73
90230,28,34.8,46.3,"73,786","32,657",38.4,38.3,6.9,16,34,4.8,92.72,23.8,11.7,8.04,15.21,19.41,48.78,8.22,0.34
90230,28,34.8,46.3,"73,786","32,657",38.4,38.3,6.9,16,34,4.8,85.91,22.2,46.8,15.73,11.24,41.95,22.47,8.24,0.37
90230,28,34.8,46.3,"73,786","32,657",38.4,38.3,6.9,16,34,4.8,22.78,19.2,93.5,2.92,1.3,90.91,4.22,0.32,0.33
90232,25,35.4,48.2,"71,316","14,865",39.4,47.4,7.6,11.9,28.9,4.2,61.02,23.2,54.1,4.66,8.1,65,14.83,7.07,0.34
90232,25,35.4,48.2,"71,316","14,865",39.4,47.4,7.6,11.9,28.9,4.2,70.41,20.2,32.8,9.12,9.49,36.5,34.85,10.04,0
91765,36,15.9,22.4,"90,966","47,398",40.9,23.2,3.5,49.3,20.6,3.4,56.07,25.5,55.6,7.57,15.67,60.05,10.97,5.48,0.26
